rank,name,result,citizen_of,competition,year
1,Feliks Zemdegs,5.53,Australia,Odd Day in Sydney 2019,2019
2,Max Park,5.59,United States,Houston Winter 2020,2020
3,Sean Patrick Villanueva,5.98,Philippines,Marikina City Open II 2019,2019
4,Philipp Weyer,6.06,Germany,Swisscubing Cup Final 2018,2018
5,Tymon Kolasiński,6.12,Poland,PST CFL Częstochowa 2019,2019
6,Patrick Ponce,6.13,United States,Liberty Science Center Open 2019,2019
7,Lucas Etter,6.19,United States,Princeton Winter 2020,2020
8,Bill Wang,6.25,Canada,WCA World Championship 2019,2019
9,Drew Brads,6.29,United States,Flag City Fall 2019,2019
10,Leo Borromeo,6.31,Philippines,Negros Speedcubing Open 2019,2019
11,Seung Hyuk Nahm (남승혁),6.38,Republic of Korea,China Championship 2018,2018
12,Luke Garrett,6.40,United States,Indianapolis Cubes Winter 2019,2019
13,Luke Griesser,6.42,United States,Arnold Classic NA B 2020,2020
14,Sebastian Weyer,6.44,Germany,Bremium Winter 2019,2019
15,Mats Valk,6.46,Netherlands,Semey Open 2018,2018
16,Kai-Wen Wang (王楷文),6.51,Taiwan,Kaohsiung Autumn Open 2017,2017
17,Kian Mansour,6.52,Canada,Pickering Spring 2018,2018
18,Zibo Xu (徐子博),6.55,China,WHUT Open 2018,2018
19,Kevin Gerhardt,6.58,Germany,Monnem City Cubing 2019,2019
20,Alexandre Carlier,6.60,France,Open de Lumes 2019,2019
21,Weihao Kong (孔维浩),6.62,China,Taiyuan Winter 2019,2019
22,Rami Sbahi,6.66,United States,CubingUSA Nationals 2018,2018
23,Dylan Miller,6.69,United States,Southeast Texas Winter 2019,2019
24,Martin Vædele Egdal,6.70,Denmark,Østerhøj Open 2019,2019
24,Tanzer Balimtas,6.70,United States,Rally In The Valley 2018,2018
26,Phillip Lewicki,6.72,United States,CubingUSA Nationals 2019,2019
27,Heidi Chan,6.73,United States,Berkeley Fall 2019,2019
27,Hyeon Kyo Kyoung,6.73,Republic of Korea,Cubing Korea 2019,2019
27,Max Siauw,6.73,United States,UBC Open 2020,2020
